Date,Age,Gender,Marital_Status,Num_Children,Employment_Status,Monthly_Household_Income,Had_Health_Insurance,Insurance_Cover,Last_Hospital_Visit_Months,Had_Health_Insurance_During_Last_Visit,Had_Routine_Checkup,Checkup_Interval_Years,Had_Cancer_Screening,Cancer_Screening_Interval_Years
15/06/2023,60+,Male,Married,4,Self-employed,40001-50000,Yes,NHIF,4,Yes,Yes,1,No,
15/06/2023,18-30,Female,Single,0,Unemployed,10001-20000,No,,4,No,No,,No,
15/06/2023,51-60,Female,Married,4,Self-employed,20001-30000,Yes,NHIF,4,Yes,No,,Yes,2
15/06/2023,60+,Female,Married,4,Unemployed,0-9999,Yes,NHIF,2,Yes,Yes,1,Yes,2
15/06/2023,31-40,Female,,2,Self-employed,20001-30000,Yes,Jubilee insurance,2,Yes,No,,No,
15/06/2023,18-30,Male,Single,0,Unemployed,0-9999,No,,4,No,No,,No,
15/06/2023,41-50,Male,Married,2,Self-employed,20001-30000,Yes,APA insurance,5,Yes,No,,No,
15/06/2023,18-30,Male,Married,1,Self-employed,10001-20000,Yes,NHIF,1.5,Yes,Yes,1,Yes,1
15/06/2023,31-40,Male,Married,2,Self-employed,20001-30000,Yes,NHIF,5,Yes,No,,No,
15/06/2023,31-40,Female,Married,2,Unemployed,10001-20000,No,,1,No,No,,Yes,1
15/06/2023,18-30,Female,Single,0,Unemployed,0-9999,No,,5,No,No,,No,
15/06/2023,18-30,Male,Single,0,Employed,20001-30000,No,,9,No,No,,Yes,3
15/06/2023,18-30,Male,Single,1,Employed,20001-30000,Yes,Jubilee,5,Yes,No,,No,
15/06/2023,31-40,Male,Divorced,3,Unemployed,0-9999,No,,10,No,No,,No,
15/06/2023,41-50,Female,Married,3,Self-employed,20001-30000,Yes,NHIF,12,Yes,Yes,4+,No,
15/06/2023,18-30,Male,Single,0,Employed,0-9999,No,,12,No,Yes,3,No,
15/06/2023,31-40,Male,Married,3,Self-employed,40001-50000,Yes,NHIF ,3,Yes,No,,Yes,2
15/06/2023,18-30,Female,Single,0,Unemployed,10001-20000,No,,6,No,No,,No,
15/06/2023,18-30,Male,Single,0,Self-employed,20001-30000,Yes,Jubilee ,9,Yes,No,,Yes,3
15/06/2023,51-60,Male,Married,6,Unemployed,0-9999,Yes,NHIF,1,Yes,No,,No,
15/06/2023,31-40,Female,Married,1,Unemployed,10001-20000,No,,10,No,Yes,4+,Yes,4+
15/06/2023,31-40,Male,Married,1,Employed,10001-20000,Yes,NHIF ,5,No,No,,No,
15/06/2023,31-40,Male,Married,2,Self-employed,20001-30000,Yes,NHIF ,6,Yes,No,,Yes,4+
15/06/2023,18-30,Female,Single,0,Unemployed,0-9999,No,,7,No,No,,No,
15/06/2023,51-60,Female,Married,4,Unemployed,0-9999,No,,2,No,No,,Yes,3
15/06/2023,18-30,Female,Single,0,Self-employed,10001-20000,No,,2,No,No,,No,
15/06/2023,41-50,Male,Married,2,Self-employed,20001-30000,Yes,NHIF ,4,Yes,No,,Yes,4+
15/06/2023,31-40,Female,Married,3,Self-employed,0-9999,No,,6,No,No,,No,
15/06/2023,51-60,Male,Married,5,Employed,40001-50000,Yes,Nhif ,3,Yes,Yes,1,Yes,3
15/06/2023,51-60,Male,Married,3,Employed,20001-30000,No,,2,No,No,,No,
15/06/2023,31-40,Female,Single,0,Self-employed,10001-20000,No,,1,No,No,,No,
15/06/2023,18-30,Female,Single,0,Unemployed,0-9999,No,,1,No,No,,No,
15/06/2023,31-40,Male,Married,2,Employed,50001+,Yes,Nhif ,0.2,Yes,No,,Yes,3
15/06/2023,18-30,Female,Single,0,Employed,40001-50000,Yes,Nhif ,7,Yes,No,,No,
15/06/2023,60+,Male,Married,8,Employed,50001+,Yes,Nhif ,3,Yes,Yes,4+,Yes,4+
15/06/2023,51-60,Female,Divorced,3,Employed,40001-50000,Yes,Nhif ,2,Yes,No,,No,
15/06/2023,,Male,Married,5,Unemployed,0-9999,No,,0.3,No,No,,No,
15/06/2023,31-40,Female,Married,2,Employed,50001+,Yes,Nhif ,2,Yes,No,,Yes,3
15/06/2023,18-30,Male,Single,2,Employed,40001-50000,Yes,"NHIF
Jubilee ",8,Yes,Yes,1,No,
15/06/2023,31-40,Female,Divorced,3,Self-employed,50001+,Yes,"NHIF
Old mutual",9,Yes,Yes,1,Yes,1
15/06/2023,51-60,Female,Married,4,Employed,50001+,Yes,NHIF ,9,No,No,,No,
15/06/2023,18-30,Male,Single,1,Employed,20001-30000,Yes,NHIF ,15,No,No,,No,
15/06/2023,18-30,Female,Single,1,Unemployed,,Yes,NHIF ,9,Yes,No,,No,
15/06/2023,18-30,Female,Single,,Unemployed,,No,,18,No,No,,No,
15/06/2023,18-30,Female,Single,,Unemployed,,No,,16,No,No,,No,
15/06/2023,31-40,Female,Divorced,4,Unemployed,0-9999,No,,18,No,No,,No,
15/06/2023,41-50,Female,Married,5,Self-employed,10001-20000,Yes,NHIF ,2,No,No,,No,
15/06/2023,51-60,Female,Married,3,Self-employed,40001-50000,Yes,NHIF ,7,No,No,,No,
15/06/2023,41-50,Male,Married,6,Employed,10001-20000,Yes,NHIF,3,Yes,No,,No,
15/06/2023,18-30,Male,Married,1,Unemployed,0-9999,Yes,Makueni care,6,Yes,No,,No,
15/06/2023,60+,Female,Married,3,Unemployed,10001-20000,Yes,NHIF,4,Yes,Yes,1,No,
15/06/2023,31-40,Male,Divorced,2,Employed,10001-20000,Yes,Makueni care,2,No,No,,No,
15/06/2023,41-50,Female,Married,8,Unemployed,0-9999,Yes,Makueni care,4,No,No,,Yes,4+
15/06/2023,31-40,Female,Married,3,Unemployed,0-9999,Yes,NHIF ,4,No,No,,No,
15/06/2023,41-50,Female,Married,3,Self-employed,10001-20000,Yes,NHIF ,5,Yes,No,,Yes,4+
15/06/2023,60+,Male,Married,6,Unemployed,10001-20000,No,,8,No,No,,Yes,3
15/06/2023,18-30,Female,Single,0,Self-employed,10001-20000,No,,6,No,No,,No,
15/06/2023,41-50,Male,Married,4,Employed,50001+,Yes,NHIF,4,Yes,No,,No,
15/06/2023,41-50,Male,Married,2,Employed,0-9999,No,,1,No,No,,No,
15/06/2023,18-30,Male,Single,0,Unemployed,0-9999,No,,4,No,No,,No,
15/06/2023,41-50,Female,Married,4,Employed,10001-20000,Yes,NHIF,5,Yes,Yes,1,Yes,4+
15/06/2023,60+,Male,Divorced,6,Unemployed,0-9999,No,,5,No,No,,No,
15/06/2023,41-50,Male,Married,5,Unemployed,0-9999,Yes,Makueni care,1,No,No,,No,
15/06/2023,31-40,Male,Single,1,Employed,20001-30000,Yes,NHIF ,9,Yes,No,,No,
15/06/2023,18-30,Female,Single,0,Employed,10001-20000,Yes,NHIF ,2,Yes,No,,No,
15/06/2023,31-40,Female,Single,3,Employed,20001-30000,Yes,NHIF ,3,Yes,No,,No,
15/06/2023,41-50,Male,Married,4,Employed,20001-30000,Yes,NHIF ,2,Yes,Yes,1,No,
15/06/2023,41-50,Female,Married,5,Self-employed,0-9999,Yes,NHIF ,2,Yes,Yes,1,No,
15/06/2023,18-30,Male,Single,1,Employed,20001-30000,Yes,NHIF ,5,Yes,No,,No,
15/06/2023,41-50,Female,Married,5,Employed,40001-50000,Yes,Madison insurance ,2,Yes,Yes,1,No,
15/06/2023,18-30,Female,Single,1,Self-employed,0-9999,No,,18,No,No,,No,
15/06/2023,60+,Male,Married,4,Employed,20001-30000,Yes,NHIF ,4,Yes,No,,No,
15/06/2023,41-50,Male,Married,3,Employed,50001+,Yes,NHIF ,5,Yes,No,,No,
15/06/2023,18-30,Male,Married,2,Unemployed,10001-20000,No,,8,No,No,,No,
15/06/2023,41-50,Female,Married,4,Unemployed,0-9999,Yes,NHIF,5,Yes,No,,No,
15/06/2023,60+,Female,Divorced,2,Self-employed,40001-50000,Yes,NHIF ,3,Yes,No,,No,
15/06/2023,18-30,Female,Single,1,Unemployed,0-9999,No,,5,No,No,,No,
15/06/2023,51-60,Male,Married,3,Employed,50001+,Yes,"NHIF
CIC",4,Yes,Yes,1,Yes,2
15/06/2023,51-60,Male,Married,3,Unemployed,10001-20000,Yes,NHIF,6,No,No,,No,
15/06/2023,41-50,Female,Married,4,Unemployed,10001-20000,Yes,NHIF,1,Yes,No,,No,
15/06/2023,31-40,Female,Married,1,Self-employed,20001-30000,Yes,NHIF,2,Yes,No,,No,
15/06/2023,60+,Female,Married,8,Unemployed,0-9999,Yes,NHIF,3,Yes,Yes,1,No,
15/06/2023,31-40,Male,Single,,Unemployed,0-9999,No,,14,No,No,,No,
15/06/2023,31-40,Female,Married,2,Self-employed,40001-50000,Yes,NHIF ,3,Yes,No,,No,
15/06/2023,41-50,Male,Married,2,Self-employed,10001-20000,Yes,NHIF,1,Yes,No,,No,
15/06/2023,18-30,Male,Single,2,Employed,10001-20000,No,,2,No,No,,No,
15/06/2023,18-30,Male,Single,1,Employed,0-9999,Yes,NHIF,5,No,No,,No,
15/06/2023,31-40,Male,Single,6,Employed,10001-20000,No,,1,No,No,,No,
15/06/2023,18-30,Female,Single,2,Unemployed,0-9999,No,,6,No,No,,No,
15/06/2023,31-40,Female,Married,2,Self-employed,20001-30000,Yes,NHIF ,2,Yes,Yes,1,Yes,1
15/06/2023,41-50,Female,Married,1,Employed,0-9999,Yes,NHIF ,2,Yes,No,,No,
15/06/2023,18-30,Male,Married,1,Self-employed,10001-20000,Yes,NHIF ,0.25,No,No,,Yes,4+
15/06/2023,18-30,Female,Single,,Employed,20001-30000,Yes,NHIF ,8,Yes,No,,No,
15/06/2023,18-30,Female,Single,,Unemployed,0-9999,No,,5,No,Yes,1,No,
15/06/2023,18-30,Female,Married,,Employed,10001-20000,Yes,NHIF ,3,No,No,,No,
15/06/2023,60+,Male,Married,7,Unemployed,,Yes,NHIF,4,Yes,Yes,3,Yes,4+
15/06/2023,31-40,Male,Single,0,Employed,0-9999,No,,3,No,No,,No,
15/06/2023,41-50,Male,Married,3,Employed,0-9999,No,,2,No,Yes,2,Yes,3
15/06/2023,41-50,Female,Married,2,Employed,0-9999,Yes,Nhif,2,Yes,Yes,3,Yes,1
15/06/2023,31-40,Male,Married,2,Unemployed,10001-20000,Yes,Nhif ,2,Yes,Yes,2,Yes,1
15/06/2023,51-60,Female,Divorced,5,Unemployed,0-9999,No,,9,No,No,,Yes,1
15/06/2023,41-50,Male,Single,1,Employed,0-9999,No,,8,No,No,,No,
15/06/2023,51-60,Female,Married,8,Unemployed,0-9999,No,,9,No,No,,No,
15/06/2023,18-30,Male,Single,0,Unemployed,0-9999,No,,2,Yes,No,,Yes,1
15/06/2023,51-60,Male,Married,5,Employed,10001-20000,Yes,CIC ,5,Yes,Yes,2,Yes,2
15/06/2023,31-40,Male,Married,5,Employed,10001-20000,No,,2,No,Yes,4+,Yes,4+
15/06/2023,31-40,Female,Married,3,Employed,10001-20000,Yes,NHIF,2,Yes,Yes,1,Yes,1
15/06/2023,18-30,Female,Single,0,Unemployed,0-9999,No,,2,No,No,,No,
15/06/2023,41-50,Female,Married,3,Employed,20001-30000,Yes,NHIF ,3,Yes,Yes,3,Yes,2
15/06/2023,18-30,Male,Single,1,Self-employed,10001-20000,No,,6,No,No,,No,
15/06/2023,18-30,Female,Married,2,Employed,20001-30000,Yes,NHIF ,7,Yes,No,,No,
15/06/2023,31-40,Male,Married,3,Self-employed,20001-30000,No,,5,No,No,,No,
15/06/2023,51-60,Male,Married,5,Self-employed,10001-20000,No,,4,No,No,,No,
15/06/2023,18-30,Male,Single,0,Employed,0-9999,Yes,NHIF ,3,Yes,Yes,4+,No,
15/06/2023,31-40,Female,Married,3,Unemployed,0-9999,No,,1,No,No,,No,
15/06/2023,18-30,Male,Single,0,Self-employed,40001-50000,Yes,NHIF ,6,Yes,No,,No,
15/06/2023,41-50,Female,Married,3,Employed,20001-30000,Yes,NHIF ,6,Yes,No,,Yes,3
15/06/2023,18-30,Female,Single,,Unemployed,0-9999,No,,12,No,No,,No,
15/06/2023,18-30,Male,Single,,Unemployed,0-9999,Yes,Cic medical cover,3,No,No,,No,
15/06/2023,18-30,Female,Married,1,Unemployed,0-9999,No,,6,No,No,,No,
15/06/2023,31-40,Male,Married,3,Employed,20001-30000,Yes,Nhif,11,Yes,No,,No,
15/06/2023,41-50,Male,Married,4,Employed,40001-50000,Yes,Nhif,8,Yes,No,,No,
15/06/2023,31-40,Female,Married,3,Employed,20001-30000,Yes,Nhif,7,Yes,No,,No,
15/06/2023,18-30,Female,Single,,Unemployed,0-9999,No,,6,No,No,,No,
15/06/2023,41-50,Male,Married,4,Employed,20001-30000,No,,14,No,No,,No,
15/06/2023,41-50,Male,Married,5,Self-employed,20001-30000,Yes,Nhif,9,Yes,No,,No,
15/06/2023,18-30,Female,Single,,Unemployed,0-9999,No,,14,No,No,,No,
15/06/2023,18-30,Female,Single,,Unemployed,,No,,5,No,No,,No,
15/06/2023,41-50,Male,Married,2,Employed,10001-20000,Yes,NHIF,2,Yes,Yes,2,Yes,2
15/06/2023,31-40,Female,Married,5,Self-employed,10001-20000,Yes,Britam,2,Yes,Yes,2,Yes,1
15/06/2023,60+,Female,Divorced,8,Unemployed,,No,,6,No,No,,No,4+
15/06/2023,18-30,Female,Married,0,Unemployed,10001-20000,No,,1,No,No,,No,4+
15/06/2023,31-40,Female,Married,3,Employed,20001-30000,Yes,Direct line ,3,No,No,,No,
15/06/2023,60+,Female,Married,3,Self-employed,20001-30000,No,NHIF ,3,No,No,,No,
15/06/2023,51-60,Female,Married,3,Employed,20001-30000,Yes,Jubilee insurance ,3,No,No,,No,
15/06/2023,41-50,Female,Married,3,Self-employed,20001-30000,Yes,NHIF ,3,No,No,,No,
15/06/2023,31-40,Male,Divorced,6,Self-employed,40001-50000,No,,3,No,No,,No,
15/06/2023,51-60,Female,Married,5,Employed,50001+,Yes,NHIF ,8,No,Yes,1,No,
15/06/2023,18-30,Female,Married,1,Employed,50001+,Yes,Madison ,7,Yes,No,,Yes,4+
15/06/2023,51-60,Female,Divorced,2,Self-employed,50001+,No,,3,No,Yes,1,No,4+
15/06/2023,18-30,Male,Single,0,Unemployed,0-9999,No,,2,No,No,,No,
15/06/2023,31-40,Female,Married,1,Self-employed,10001-20000,Yes,Nhif,2,Yes,Yes,1,Yes,1
15/06/2023,31-40,Female,Married,3,Self-employed,10001-20000,Yes,Personal insurance ,2,Yes,Yes,2,Yes,1
15/06/2023,41-50,Male,Married,5,Employed,40001-50000,Yes,Personal insurance ,1,Yes,Yes,1,No,
15/06/2023,31-40,Male,Married,1,Self-employed,20001-30000,No,,2,No,No,,No,
15/06/2023,41-50,Female,Married,3,Unemployed,0-9999,Yes,NHIF ,2,Yes,Yes,1,Yes,2
15/06/2023,18-30,Male,Single,0,Unemployed,0-9999,No,,6,No,No,,No,
15/06/2023,18-30,Female,Single,0,Unemployed,0-9999,Yes,NHIF ,4,No,Yes,3,Yes,4+
15/06/2023,18-30,Male,Single,0,Unemployed,0-9999,No,,9,No,No,,No,
15/06/2023,41-50,Female,Married,2,Self-employed,20001-30000,No,,1,No,No,,No,
15/06/2023,41-50,Male,Married,2,Employed,20001-30000,No,,5,No,No,,No,
15/06/2023,31-40,Male,Married,2,Self-employed,10001-20000,No,,5,No,No,,No,
15/06/2023,18-30,Female,Married,2,Self-employed,10001-20000,No,,3,No,No,,No,
15/06/2023,18-30,Female,Divorced,1,Employed,10001-20000,Yes,NHIF,12,No,No,,No,
15/06/2023,18-30,Male,Divorced,2,Self-employed,20001-30000,No,,10,No,No,,No,
15/06/2023,51-60,Male,Married,3,Unemployed,0-9999,Yes,NHIF,12,No,No,,,
15/06/2023,41-50,Female,Married,3,Employed,20001-30000,Yes,NHIF,6,No,No,,No,
15/06/2023,18-30,Male,Single,,Unemployed,,No,,2,No,No,,No,
15/06/2023,18-30,Female,Single,,Unemployed,,No,,6,No,No,,No,
15/06/2023,41-50,Female,Married,3,Employed,50001+,Yes,NHIF ,2,Yes,No,,No,
15/06/2023,31-40,Male,Married,1,Employed,50001+,Yes,"Pioneer Insurance
",6,Yes,No,,No,
15/06/2023,18-30,Male,Single,1,Self-employed,40001-50000,Yes,NHIF ,7,Yes,Yes,4+,No,
15/06/2023,31-40,Female,Single,0,Self-employed,50001+,Yes,NHIF,5,Yes,No,,No,
15/06/2023,31-40,Female,Single,2,Self-employed,40001-50000,Yes,Linda Mama,5,Yes,No,,No,
15/06/2023,51-60,Male,Married,2,Self-employed,50001+,Yes,NHIF,4,Yes,No,,No,
15/06/2023,41-50,Female,Married,3,Employed,10001-20000,No,,8,No,No,,No,
15/06/2023,18-30,Female,Single,0,Unemployed,0-9999,No,,9,No,No,,No,
15/06/2023,31-40,Male,Single,0,Unemployed,0-9999,No,,13,No,No,,No,
15/06/2023,41-50,Female,Married,2,Employed,50001+,Yes,NHIF,6,Yes,No,,No,
15/06/2023,18-30,Male,Single,0,Employed,10001-20000,Yes,NHIF,7,Yes,No,,No,
15/06/2023,18-30,Female,Married,2,Employed,10001-20000,Yes,APA,4,Yes,Yes,1,No,
15/06/2023,31-40,Male,Married,3,Self-employed,20001-30000,No,,10,No,No,,No,
15/06/2023,31-40,Female,Married,4,Self-employed,40001-50000,No,,6,No,No,,No,
15/06/2023,41-50,Male,Married,4,Employed,40001-50000,Yes,CIC insurance ,5,Yes,No,,No,
15/06/2023,41-50,Female,Married,3,Employed,40001-50000,No,,6,No,No,,No,
15/06/2023,31-40,Male,Married,3,Self-employed,40001-50000,Yes,Directline insurance ,8,No,No,,No,
15/06/2023,41-50,Male,Divorced,4,Employed,40001-50000,No,,2,No,No,,No,
15/06/2023,51-60,Female,Married,5,Self-employed,50001+,No,,4,No,No,,No,
15/06/2023,41-50,Female,Married,3,Self-employed,20001-30000,Yes,Jubilee insurance ,4,No,No,,No,
15/06/2023,18-30,Male,Single,3,Unemployed,0-9999,No,,3,No,No,,No,
15/06/2023,31-40,Female,Married,3,Self-employed,20001-30000,Yes,NHIF,4,Yes,Yes,1,No,
15/06/2023,18-30,Male,Married,1,Employed,20001-30000,No,,5,No,No,,No,
15/06/2023,41-50,Female,Married,4,Employed,40001-50000,No,,6,No,No,,No,
15/06/2023,51-60,Male,Divorced,4,Self-employed,40001-50000,Yes,CIC insurance ,8,Yes,Yes,1,No,
15/06/2023,31-40,Female,Married,3,Employed,40001-50000,No,,9,No,No,,No,
15/06/2023,51-60,Male,Divorced,3,Self-employed,50001+,Yes,APA insurance ,9,Yes,Yes,2,No,
15/06/2023,31-40,Female,Married,2,Employed,40001-50000,No,,10,No,No,,No,
15/06/2023,60+,Male,Married,5,Self-employed,40001-50000,Yes,NHIF,7,Yes,Yes,1,No,
15/06/2023,18-30,Female,Single,0,Self-employed,50001+,No,,11,No,No,,No,
15/06/2023,18-30,Male,Single,0,Self-employed,20001-30000,No,,6,No,No,,No,
15/06/2023,18-30,Male,Married,2,Employed,20001-30000,Yes,NHIF,5,Yes,Yes,1,No,
15/06/2023,31-40,Female,Married,3,Self-employed,20001-30000,No,,3,No,No,,No,
15/06/2023,41-50,Female,Married,3,Employed,40001-50000,Yes,CIC insurance ,2,Yes,Yes,1,No,
15/06/2023,51-60,Male,Married,5,Self-employed,50001+,Yes,Jubilee insurance ,5,Yes,Yes,2,Yes,1
15/06/2023,60+,Female,Married,4,Self-employed,40001-50000,No,,1,Yes,Yes,1,No,
15/06/2023,41-50,Female,Married,3,Employed,40001-50000,No,,2,No,No,,Yes,2
15/06/2023,41-50,Male,Married,3,Employed,40001-50000,No,,7,No,Yes,2,No,
15/06/2023,51-60,Female,Married,3,Employed,40001-50000,Yes,NHIF ,3,Yes,Yes,1,No,
15/06/2023,60+,Male,Married,6,Self-employed,10001-20000,No,,3,No,No,,No,
15/06/2023,60+,Male,Married,5,Self-employed,40001-50000,No,,4,No,Yes,1,No,
15/06/2023,51-60,Female,Married,3,Employed,20001-30000,Yes,NHIF ,3,Yes,Yes,1,No,
15/06/2023,41-50,Male,Married,2,Self-employed,40001-50000,No,,7,No,Yes,3,No,
15/06/2023,31-40,Female,Single,1,Employed,40001-50000,Yes,Directline insurance ,8,Yes,No,,No,
15/06/2023,18-30,Male,Married,1,Self-employed,50001+,No,,10,No,Yes,4+,No,
15/06/2023,41-50,Female,Single,2,Unemployed,0-9999,No,,6,No,No,,No,
15/06/2023,51-60,Female,Married,5,Self-employed,50001+,Yes,CIC insurance ,12,Yes,Yes,1,No,
15/06/2023,60+,Female,Divorced,4,Unemployed,0-9999,No,,1,No,Yes,3,Yes,2
15/06/2023,18-30,Female,Single,0,Self-employed,20001-30000,Yes,APA insurance ,5,Yes,No,,No,
15/06/2023,31-40,Male,Divorced,2,Employed,40001-50000,Yes,NHIF ,9,Yes,Yes,2,No,
15/06/2023,18-30,Female,Single,0,Unemployed,,No,,3,No,No,,Yes,3
15/06/2023,41-50,Male,Married,3,Employed,0-9999,No,,3,No,Yes,2,No,
15/06/2023,51-60,Male,Married,4,Self-employed,40001-50000,No,,3,No,No,,Yes,
15/06/2023,41-50,Female,Married,3,Unemployed,0-9999,No,,3,No,No,,No,
15/06/2023,51-60,Female,Divorced,2,Employed,10001-20000,No,,2,No,No,,No,3
15/06/2023,41-50,Female,Divorced,3,Unemployed,10001-20000,No,,1,No,Yes,1,Yes,1
15/06/2023,41-50,Male,Married,3,Self-employed,20001-30000,Yes,,3,No,No,,Yes,3
15/06/2023,60+,Female,Married,9,Unemployed,10001-20000,Yes,,1,Yes,Yes,1,Yes,1
15/06/2023,41-50,Male,Married,3,Employed,10001-20000,No,,3,No,No,,No,
15/06/2023,51-60,Male,Divorced,4,Self-employed,20001-30000,Yes,,1,Yes,Yes,1,Yes,1
15/06/2023,31-40,Male,Married,3,Employed,0-9999,Yes,NHIF ,2,Yes,Yes,2,Yes,4+
15/06/2023,31-40,Male,Married,3,Self-employed,0-9999,Yes,CIC ,5,No,Yes,1,No,
15/06/2023,31-40,Female,Married,2,Self-employed,20001-30000,No,,5,No,No,,Yes,3
15/06/2023,51-60,Female,Married,5,Unemployed,0-9999,No,,6,No,No,,No,3
16/06/2023,18-30,Male,Married,1,Unemployed,0-9999,No,,2,No,,,No,
16/06/2023,18-30,Female,Single,0,Unemployed,0-9999,No,,10,No,No,,No,1
16/06/2023,31-40,Male,Married,2,Self-employed,20001-30000,No,,3,No,No,,No,1
16/06/2023,51-60,Female,Married,5,Self-employed,10001-20000,Yes,NHIF,4,Yes,No,,Yes,1
16/06/2023,31-40,Male,Married,2,Employed,20001-30000,Yes,NHIF,9,Yes,No,,No,
16/06/2023,41-50,Male,Married,3,Self-employed,20001-30000,No,,7,No,No,,No,
16/06/2023,18-30,Female,Single,0,Unemployed,0-9999,No,,3,No,No,,No,
16/06/2023,18-30,Male,Single,0,Self-employed,0-9999,No,,12,No,No,,No,
16/06/2023,18-30,Male,Married,1,Employed,10001-20000,Yes,NHIF,8,Yes,No,,No,
16/06/2023,51-60,Female,Divorced,4,Unemployed,0-9999,Yes,NHIF,1,Yes,Yes,1,No,
16/06/2023,31-40,Female,Divorced,2,Employed,10001-20000,Yes,NHIF,3,Yes,No,,No,
16/06/2023,18-30,Female,Married,3,Self-employed,20001-30000,Yes,NHIF,5,Yes,No,,No,
16/06/2023,31-40,,Divorced,2,Self-employed,10001-20000,No,,4,No,No,,No,
16/06/2023,60+,Female,Married,,Unemployed,0-9999,Yes,NHIF,1,No,Yes,1,No,
16/06/2023,18-30,Male,Single,0,Unemployed,0-9999,No,,1,No,No,,No,
16/06/2023,41-50,Male,Married,2,Self-employed,20001-30000,Yes,APA insurance,5,Yes,No,,No,
16/06/2023,60+,Male,Married,4,Unemployed,0-9999,Yes,NHIF,1,Yes,Yes,1,Yes,1
16/06/2023,18-30,Female,Single,0,Unemployed,0-9999,Yes,NHIF,4,Yes,No,,No,
16/06/2023,31-40,Male,Married,2,Self-employed,40001-50000,Yes,Madison Insurance,18,No,No,,No,
16/06/2023,18-30,Male,Single,0,Unemployed,,No,,12,No,No,,No,
16/06/2023,31-40,Female,Married,3,Unemployed,,No,,7,No,No,,No,
16/06/2023,18-30,Male,Single,0,Unemployed,,Yes,NHIF,5,Yes,No,,No,
16/06/2023,18-30,Female,Married,2,Unemployed,,No,,9,No,No,,No,
16/06/2023,18-30,Male,Single,0,Unemployed,,No,,24,No,No,,No,
16/06/2023,18-30,Female,Single,0,Unemployed,,Yes,NHIF,6,Yes,No,,No,
16/06/2023,41-50,Male,Married,2,Self-employed,50001+,Yes,Britam insurance,14,No,No,,No,
16/06/2023,60+,Female,Married,8,Unemployed,,No,,1,No,Yes,1,No,
16/06/2023,18-30,Female,Married,3,Unemployed,,No,,2,No,Yes,1,No,
16/06/2023,18-30,Male,Single,0,Self-employed,20001-30000,Yes,APA insurance,6,Yes,No,,No,
16/06/2023,51-60,Female,Married,4,Self-employed,20001-30000,Yes,Jubilee insurance,3,No,No,,No,
16/06/2023,31-40,Male,Married,1,Self-employed,20001-30000,No,,1,No,No,,No,
16/06/2023,18-30,Male,Single,0,Unemployed,0-9999,No,,7,No,No,,No,
16/06/2023,51-60,Female,Divorced,2,Self-employed,0-9999,Yes,Makueni care,4,Yes,No,,Yes,4+
16/06/2023,41-50,Female,Married,2,Unemployed,0-9999,Yes,Makueni care ,5,No,No,,No,
16/06/2023,51-60,Male,Married,5,Employed,50001+,Yes,NHIF,3,Yes,No,,No,
16/06/2023,18-30,Female,Single,0,Employed,10001-20000,No,,2,No,No,,No,
16/06/2023,41-50,Female,Married,4,Employed,0-9999,Yes,Makueni care,1,No,No,,Yes,3
16/06/2023,18-30,Female,Divorced,1,Unemployed,10001-20000,No,,2,No,No,,No,
16/06/2023,41-50,Male,Married,4,Unemployed,10001-20000,Yes,Makueni care,2,No,No,,No,
16/06/2023,41-50,Female,Married,2,Employed,50001+,Yes,NHIF,4,Yes,Yes,1,Yes,4+
16/06/2023,51-60,Female,Married,4,Self-employed,50001+,Yes,NHIF,5,No,No,,Yes,3
16/06/2023,60+,Male,Married,5,Unemployed,10001-20000,Yes,NHIF,5,No,No,,No,
16/06/2023,31-40,Female,Married,2,Employed,10001-20000,Yes,NHIF,12,Yes,No,,Yes,4+
16/06/2023,31-40,Male,Married,3,Self-employed,20001-30000,Yes,NHIF,4,Yes,Yes,1,No,
16/06/2023,60+,Female,Married,3,Unemployed,0-9999,Yes,NHIF,0.2,Yes,Yes,1,Yes,1
16/06/2023,18-30,Female,Single,0,Unemployed,0-9999,No,,3,No,No,,No,
16/06/2023,60+,Female,Married,5,Self-employed,10001-20000,Yes,NHIF ,4,Yes,Yes,4+,Yes,4+
16/06/2023,41-50,Male,Married,2,Employed,20001-30000,Yes,NHIF ,6,Yes,No,,Yes,3
16/06/2023,51-60,Female,Married,5,Self-employed,20001-30000,Yes,NHIF,3,Yes,No,,Yes,4+
16/06/2023,18-30,Male,Single,0,Unemployed,0-9999,No,,4,No,No,,No,
16/06/2023,18-30,Female,Single,0,Unemployed,0-9999,Yes,NHIF,6,No,No,,No,
16/06/2023,18-30,Male,Single,,Employed,20001-30000,Yes,NHIF ,6,No,No,,No,
16/06/2023,18-30,Female,Single,,,,No,,,No,No,,No,
16/06/2023,18-30,Female,Single,0,,,No,,,,No,,No,
16/06/2023,31-40,Female,Married,3,Self-employed,0-9999,No,,,No,Yes,,No,4+
16/06/2023,18-30,Female,Single,,Unemployed,0-9999,No,,24,No,No,,No,
16/06/2023,18-30,Female,Single,,Self-employed,0-9999,No,,36,No,No,,No,
16/06/2023,31-40,Male,Married,2,Employed,20001-30000,Yes,NHIF ,6,Yes,No,,Yes,4+
16/06/2023,18-30,Male,Single,0,Unemployed,0-9999,Yes,NHIF ,4,No,No,,No,
16/06/2023,51-60,Female,Married,4,Self-employed,40001-50000,Yes,NHIF ,2,Yes,Yes,4+,No,
